Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,Field 35,Value 35,Units 35,Field 36,Value 36,Units 36,Field 37,Value 37,Units 37,Field 38,Value 38,Units 38
Data,7,record,timestamp,776613858,s,position_lat,459375478,semicircles,position_long,-1465789445,semicircles,distance,11181.8,m,altitude,38,m,speed,5.382,m/s,cadence,57,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613859,s,position_lat,459374872,semicircles,position_long,-1465789556,semicircles,distance,11187.5,m,altitude,38.4,m,speed,5.146,m/s,cadence,57,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613860,s,position_lat,459374214,semicircles,position_long,-1465789686,semicircles,distance,11193.69,m,altitude,39,m,speed,5.307,m/s,cadence,57,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613861,s,position_lat,459373546,semicircles,position_long,-1465789828,semicircles,distance,11199.99,m,altitude,39.4,m,speed,5.579,m/s,cadence,57,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613862,s,position_lat,459372884,semicircles,position_long,-1465790027,semicircles,distance,11206.32,m,altitude,40,m,speed,5.703,m/s,cadence,57,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613863,s,position_lat,459372289,semicircles,position_long,-1465790166,semicircles,distance,11211.95,m,altitude,40.4,m,speed,5.251,m/s,cadence,56,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613864,s,position_lat,459371730,semicircles,position_long,-1465790286,semicircles,distance,11217.22,m,altitude,41,m,speed,4.981,m/s,cadence,55,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613865,s,position_lat,459371183,semicircles,position_long,-1465790383,semicircles,distance,11222.36,m,altitude,41.6,m,speed,4.889,m/s,cadence,53,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613866,s,position_lat,459370610,semicircles,position_long,-1465790512,semicircles,distance,11227.78,m,altitude,42,m,speed,5.007,m/s,cadence,51,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613867,s,position_lat,459370027,semicircles,position_long,-1465790692,semicircles,distance,11233.36,m,altitude,42.6,m,speed,4.966,m/s,cadence,51,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613868,s,position_lat,459369456,semicircles,position_long,-1465790669,semicircles,distance,11238.66,m,altitude,43.2,m,speed,4.891,m/s,cadence,50,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613869,s,position_lat,459368914,semicircles,position_long,-1465790644,semicircles,distance,11243.7,m,altitude,44.2,m,speed,4.766,m/s,cadence,49,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613870,s,position_lat,459368314,semicircles,position_long,-1465790604,semicircles,distance,11249.29,m,altitude,44.8,m,speed,4.716,m/s,cadence,48,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613871,s,position_lat,459367788,semicircles,position_long,-1465790522,semicircles,distance,11254.21,m,altitude,44.8,m,speed,4.501,m/s,cadence,47,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613872,s,position_lat,459367215,semicircles,position_long,-1465790396,semicircles,distance,11259.63,m,altitude,44.8,m,speed,4.844,m/s,cadence,47,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613873,s,position_lat,459366620,semicircles,position_long,-1465790264,semicircles,distance,11265.24,m,altitude,45.2,m,speed,4.94,m/s,cadence,48,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613874,s,position_lat,459366086,semicircles,position_long,-1465790020,semicircles,distance,11270.52,m,altitude,45.6,m,speed,4.921,m/s,cadence,48,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613875,s,position_lat,459365545,semicircles,position_long,-1465789856,semicircles,distance,11275.7,m,altitude,46,m,speed,4.685,m/s,cadence,48,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613876,s,position_lat,459365042,semicircles,position_long,-1465789650,semicircles,distance,11280.62,m,altitude,46.4,m,speed,4.611,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613877,s,position_lat,459364560,semicircles,position_long,-1465789460,semicircles,distance,11285.31,m,altitude,46.8,m,speed,4.368,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613882,s,position_lat,459362613,semicircles,position_long,-1465789042,semicircles,distance,11303.76,m,altitude,46.8,m,speed,2.673,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613886,s,position_lat,459360817,semicircles,position_long,-1465789548,semicircles,distance,11321.11,m,altitude,46.8,m,speed,4.635,m/s,cadence,35,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613888,s,position_lat,459359700,semicircles,position_long,-1465790315,semicircles,distance,11333,m,altitude,46.8,m,speed,5.916,m/s,cadence,54,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613890,s,position_lat,459358539,semicircles,position_long,-1465791435,semicircles,distance,11346.61,m,altitude,46.8,m,speed,6.393,m/s,cadence,27,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613894,s,position_lat,459356895,semicircles,position_long,-1465794712,semicircles,distance,11375.13,m,altitude,46.4,m,speed,7.106,m/s,cadence,67,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613895,s,position_lat,459356457,semicircles,position_long,-1465795557,semicircles,distance,11382.53,m,altitude,46,m,speed,7.159,m/s,cadence,63,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613896,s,position_lat,459355982,semicircles,position_long,-1465796401,semicircles,distance,11390.11,m,altitude,45.6,m,speed,7.406,m/s,cadence,63,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613897,s,position_lat,459355464,semicircles,position_long,-1465797274,semicircles,distance,11398.11,m,altitude,45,m,speed,7.561,m/s,cadence,62,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613898,s,position_lat,459354967,semicircles,position_long,-1465798151,semicircles,distance,11406.01,m,altitude,44.6,m,speed,7.363,m/s,cadence,60,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613901,s,position_lat,459353665,semicircles,position_long,-1465800595,semicircles,distance,11427.64,m,altitude,44.6,m,speed,7.026,m/s,cadence,59,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613907,s,position_lat,459351440,semicircles,position_long,-1465805388,semicircles,distance,11468.39,m,altitude,44.6,m,speed,6.685,m/s,cadence,54,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613912,s,position_lat,459349839,semicircles,position_long,-1465809937,semicircles,distance,11504.87,m,altitude,44.2,m,speed,7.569,m/s,cadence,61,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613913,s,position_lat,459349486,semicircles,position_long,-1465810952,semicircles,distance,11512.98,m,altitude,43.8,m,speed,7.669,m/s,cadence,30,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613914,s,position_lat,459349197,semicircles,position_long,-1465811913,semicircles,distance,11520.5,m,altitude,43.4,m,speed,7.495,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613915,s,position_lat,459348876,semicircles,position_long,-1465813018,semicircles,distance,11529.11,m,altitude,43,m,speed,8.174,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613916,s,position_lat,459348537,semicircles,position_long,-1465814087,semicircles,distance,11537.55,m,altitude,42.4,m,speed,8.195,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613917,s,position_lat,459348238,semicircles,position_long,-1465815193,semicircles,distance,11546.09,m,altitude,42,m,speed,8.323,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613918,s,position_lat,459347867,semicircles,position_long,-1465816289,semicircles,distance,11554.82,m,altitude,41.6,m,speed,8.44,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613919,s,position_lat,459347578,semicircles,position_long,-1465817352,semicircles,distance,11563.05,m,altitude,41.2,m,speed,8.148,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613920,s,position_lat,459347266,semicircles,position_long,-1465818457,semicircles,distance,11571.62,m,altitude,40.4,m,speed,8.117,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613924,s,position_lat,459345985,semicircles,position_long,-1465822499,semicircles,distance,11603.49,m,altitude,40.4,m,speed,7.986,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613928,s,position_lat,459344501,semicircles,position_long,-1465826972,semicircles,distance,11639.01,m,altitude,39.8,m,speed,8.597,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613929,s,position_lat,459344180,semicircles,position_long,-1465828126,semicircles,distance,11647.96,m,altitude,39.4,m,speed,8.716,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613930,s,position_lat,459343814,semicircles,position_long,-1465829277,semicircles,distance,11657.04,m,altitude,39,m,speed,8.853,m/s,cadence,53,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613931,s,position_lat,459343478,semicircles,position_long,-1465830409,semicircles,distance,11665.89,m,altitude,38.4,m,speed,8.845,m/s,cadence,72,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613932,s,position_lat,459343102,semicircles,position_long,-1465831527,semicircles,distance,11674.78,m,altitude,38,m,speed,8.901,m/s,cadence,73,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613935,s,position_lat,459341916,semicircles,position_long,-1465835119,semicircles,distance,11703.27,m,altitude,37.6,m,speed,9.35,m/s,cadence,39,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613936,s,position_lat,459341487,semicircles,position_long,-1465836334,semicircles,distance,11713,m,altitude,37.2,m,speed,9.697,m/s,cadence,79,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613937,s,position_lat,459341038,semicircles,position_long,-1465837523,semicircles,distance,11722.65,m,altitude,36.8,m,speed,9.659,m/s,cadence,79,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613938,s,position_lat,459340549,semicircles,position_long,-1465838647,semicircles,distance,11732.04,m,altitude,36.4,m,speed,9.391,m/s,cadence,79,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613939,s,position_lat,459339957,semicircles,position_long,-1465839733,semicircles,distance,11741.71,m,altitude,36,m,speed,9.444,m/s,cadence,19,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613940,s,position_lat,459339243,semicircles,position_long,-1465840749,semicircles,distance,11751.66,m,altitude,36,m,speed,9.572,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613941,s,position_lat,459338463,semicircles,position_long,-1465841664,semicircles,distance,11761.51,m,altitude,35.6,m,speed,9.388,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613942,s,position_lat,459337632,semicircles,position_long,-1465842464,semicircles,distance,11771.21,m,altitude,35,m,speed,9.314,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613943,s,position_lat,459336764,semicircles,position_long,-1465843253,semicircles,distance,11781.13,m,altitude,34.6,m,speed,9.207,m/s,cadence,57,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613944,s,position_lat,459335839,semicircles,position_long,-1465843883,semicircles,distance,11790.89,m,altitude,33.6,m,speed,9.295,m/s,cadence,76,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613945,s,position_lat,459334883,semicircles,position_long,-1465844455,semicircles,distance,11800.72,m,altitude,33.6,m,speed,9.658,m/s,cadence,77,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613946,s,position_lat,459333904,semicircles,position_long,-1465845042,semicircles,distance,11810.78,m,altitude,33.6,m,speed,9.891,m/s,cadence,79,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613949,s,position_lat,459330913,semicircles,position_long,-1465846713,semicircles,distance,11841.19,m,altitude,33.2,m,speed,10.307,m/s,cadence,84,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613950,s,position_lat,459329949,semicircles,position_long,-1465847243,semicircles,distance,11850.95,m,altitude,32.8,m,speed,9.964,m/s,cadence,84,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613951,s,position_lat,459328934,semicircles,position_long,-1465847685,semicircles,distance,11860.93,m,altitude,32.4,m,speed,9.604,m/s,cadence,85,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613952,s,position_lat,459327941,semicircles,position_long,-1465848112,semicircles,distance,11870.68,m,altitude,32,m,speed,9.748,m/s,cadence,82,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613953,s,position_lat,459326974,semicircles,position_long,-1465848528,semicircles,distance,11880.18,m,altitude,31.4,m,speed,9.617,m/s,cadence,80,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613957,s,position_lat,459323029,semicircles,position_long,-1465849912,semicircles,distance,11918.29,m,altitude,31,m,speed,9.195,m/s,cadence,76,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613958,s,position_lat,459322153,semicircles,position_long,-1465850260,semicircles,distance,11926.83,m,altitude,30.6,m,speed,8.698,m/s,cadence,74,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613959,s,position_lat,459321253,semicircles,position_long,-1465850595,semicircles,distance,11935.56,m,altitude,30.2,m,speed,8.697,m/s,cadence,74,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613960,s,position_lat,459320375,semicircles,position_long,-1465850924,semicircles,distance,11944.07,m,altitude,29.8,m,speed,8.399,m/s,cadence,74,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613961,s,position_lat,459319555,semicircles,position_long,-1465851209,semicircles,distance,11951.98,m,altitude,29.4,m,speed,8.019,m/s,cadence,18,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613965,s,position_lat,459316110,semicircles,position_long,-1465852308,semicircles,distance,11985.03,m,altitude,29.4,m,speed,8.195,m/s,cadence,66,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613973,s,position_lat,459309061,semicircles,position_long,-1465854807,semicircles,distance,12053.12,m,altitude,29.4,m,speed,8.449,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613976,s,position_lat,459306419,semicircles,position_long,-1465855743,semicircles,distance,12078.64,m,altitude,29,m,speed,8.486,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776613977,s,position_lat,459305533,semicircles,position_long,-1465855963,semicircles,distance,12087.04,m,altitude,28.6,m,speed,8.394,m/s,cadence,0,rpm,temperature,11,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
